"","province_city","province","total_cases","latitude","longitude","elementary_school_count","kindergarten_count","university_count","academy_ratio","elderly_population_ratio","elderly_alone_ratio","nursing_home_count","province_avg_temp","province_avg_precip","province_avg_rel_hum"
"41","Daegu_Dalseo-gu","Daegu",29,35.830128,128.532635,55,78,3,1.72,13.56,6.5,1064,13.6487507798342,1.27795371498173,60.3358099878197
"42","Daegu_Dalseong-gun","Daegu",1,35.77475,128.431314,32,47,1,1.51,12.11,5.4,361,13.6487507798342,1.27795371498173,60.3358099878197
"43","Daegu_Dong-gu","Daegu",10,35.886836,128.635537,32,58,0,1.15,18.81,9,649,13.6487507798342,1.27795371498173,60.3358099878197
"44","Daegu_Buk-gu","Daegu",10,35.892506,128.583779,38,73,4,1.43,13.95,6.3,748,13.6487507798342,1.27795371498173,60.3358099878197
"45","Daegu_Seo-gu","Daegu",7,35.871993,128.559182,17,23,0,0.83,21.29,10.1,374,13.6487507798342,1.27795371498173,60.3358099878197
"46","Daegu_Suseong-gu","Daegu",14,35.858395,128.630551,34,49,1,2.28,15,6.9,948,13.6487507798342,1.27795371498173,60.3358099878197
"47","Daegu_Jung-gu","Daegu",3,35.869551,128.606184,10,12,0,4.03,20.29,9.6,594,13.6487507798342,1.27795371498173,60.3358099878197
"48","Incheon_Ganghwa-gun","Incheon",1,37.747065,126.487777,20,19,1,0.68,31.97,13.9,107,12.6172350791717,1.20560292326431,67.6032886723508
"49","Incheon_Gyeyang-gu","Incheon",55,37.537537,126.737712,26,36,2,1.25,11.81,5.2,477,12.6172350791717,1.20560292326431,67.6032886723508
"50","Incheon_Michuhol-gu","Incheon",69,37.463572,126.65027,29,43,2,0.9,16.29,6.8,643,12.6172350791717,1.20560292326431,67.6032886723508
"51","Incheon_Namdong-gu","Incheon",45,37.44727,126.731429,38,77,0,1.39,12.68,5.5,955,12.6172350791717,1.20560292326431,67.6032886723508
"52","Incheon_Dong-gu","Incheon",5,37.474101,126.643266,8,12,1,0.68,21.62,10.5,122,12.6172350791717,1.20560292326431,67.6032886723508
"53","Incheon_Bupyeong-gu","Incheon",83,37.507031,126.721804,42,66,0,1.27,13.83,6.2,847,12.6172350791717,1.20560292326431,67.6032886723508
"54","Incheon_Seo-gu","Incheon",18,37.545557,126.675994,44,80,0,1.4,10.02,3.9,670,12.6172350791717,1.20560292326431,67.6032886723508
"55","Incheon_Yeonsu-gu","Incheon",45,37.410262,126.678309,23,43,1,1.77,9.48,4,467,12.6172350791717,1.20560292326431,67.6032886723508
"56","Incheon_Jung-gu","Incheon",17,37.473761,126.621693,14,17,0,0.8,14.14,6.7,177,12.6172350791717,1.20560292326431,67.6032886723508
"57","Daejeon_Daedeok-gu","Daejeon",5,36.346713,127.415597,21,29,2,1.35,14.97,6.9,310,13.5433008526188,1.55913520097442,68.4129110840438
"58","Daejeon_Dong-gu","Daejeon",15,36.31204,127.454742,23,35,4,0.93,18.16,8.1,447,13.5433008526188,1.55913520097442,68.4129110840438
"59","Daejeon_Seo-gu","Daejeon",47,36.35553,127.383755,39,78,3,1.81,12.05,4.9,1123,13.5433008526188,1.55913520097442,68.4129110840438
"60","Daejeon_Yuseong-gu","Daejeon",40,36.362226,127.356153,38,75,5,1.54,9.04,3.3,586,13.5433008526188,1.55913520097442,68.4129110840438
"61","Daejeon_Jung-gu","Daejeon",11,36.325735,127.421317,27,43,1,1.43,18.39,8.2,518,13.5433008526188,1.55913520097442,68.4129110840438
"62","Ulsan_Nam-gu","Ulsan",18,35.543833,129.330047,30,44,1,3.23,11.42,4.8,765,14.4386723507917,1.56205846528624,66.1634591961023
"63","Ulsan_Dong-gu","Ulsan",9,35.504806,129.416575,16,25,1,1.73,11.68,4.4,242,14.4386723507917,1.56205846528624,66.1634591961023
"64","Ulsan_Buk-gu","Ulsan",10,35.582685,129.36124,22,45,0,1.73,7.69,3.4,211,14.4386723507917,1.56205846528624,66.1634591961023
"65","Ulsan_Ulju-gun","Ulsan",6,35.522126,129.242507,30,49,2,1.74,13.94,6.7,260,14.4386723507917,1.56205846528624,66.1634591961023
"66","Ulsan_Jung-gu","Ulsan",12,35.569468,129.332773,21,37,0,2.03,14.15,6.5,323,14.4386723507917,1.56205846528624,66.1634591961023
"67","Gyeonggi-do_Gapyeong-gun","Gyeonggi-do",1,37.831297,127.509555,13,14,0,0.88,25.09,12,114,12.7827040194884,1.484287454324,68.8682704019488
"68","Gyeonggi-do_Goyang-si","Gyeonggi-do",53,37.658363,126.831961,84,171,2,1.88,12.82,5.2,1608,12.7827040194884,1.484287454324,68.8682704019488
"69","Gyeonggi-do_Gwacheon-si","Gyeonggi-do",9,37.42915,126.987616,4,7,0,1.36,13.98,5.7,92,12.7827040194884,1.484287454324,68.8682704019488
"70","Gyeonggi-do_Gwangmyeong-si","Gyeonggi-do",28,37.478541,126.864648,25,48,0,1.73,13.25,5.8,530,12.7827040194884,1.484287454324,68.8682704019488
"71","Gyeonggi-do_Gwangju-si","Gyeonggi-do",35,37.429322,127.255153,27,42,2,1.09,12.65,4,406,12.7827040194884,1.484287454324,68.8682704019488
"72","Gyeonggi-do_Guri-si","Gyeonggi-do",11,37.594267,127.129549,16,30,0,1.94,12.88,5.1,418,12.7827040194884,1.484287454324,68.8682704019488
"73","Gyeonggi-do_Gunpo-si","Gyeonggi-do",75,37.361653,126.935206,26,49,1,1.58,12.42,5.4,429,12.7827040194884,1.484287454324,68.8682704019488
"74","Gyeonggi-do_Gimpo-si","Gyeonggi-do",37,37.615238,126.715601,43,90,2,1.74,12.1,4.4,604,12.7827040194884,1.484287454324,68.8682704019488
"75","Gyeonggi-do_Namyangju-si","Gyeonggi-do",47,37.635791,127.216552,64,110,1,1.38,13.44,5,912,12.7827040194884,1.484287454324,68.8682704019488
"76","Gyeonggi-do_Dongducheon-si","Gyeonggi-do",5,37.903568,127.060347,11,19,1,1.03,19.56,9.7,140,12.7827040194884,1.484287454324,68.8682704019488
"77","Gyeonggi-do_Bucheon-si","Gyeonggi-do",162,37.503393,126.766049,64,124,4,1.51,12.77,5.4,1432,12.7827040194884,1.484287454324,68.8682704019488
"78","Gyeonggi-do_Seongnam-si","Gyeonggi-do",173,37.42,127.126703,72,127,3,2.08,13.52,5.6,2095,12.7827040194884,1.484287454324,68.8682704019488
"79","Gyeonggi-do_Suwon-si","Gyeonggi-do",100,37.263376,127.028613,99,192,4,1.72,10.5,4.5,2082,12.7827040194884,1.484287454324,68.8682704019488
"80","Gyeonggi-do_Siheung-si","Gyeonggi-do",27,37.38011,126.803009,46,74,2,1.55,8.86,3.8,622,12.7827040194884,1.484287454324,68.8682704019488
"81","Gyeonggi-do_Ansan-si","Gyeonggi-do",33,37.321863,126.83092,54,94,4,1.49,10.35,4.6,1024,12.7827040194884,1.484287454324,68.8682704019488
"82","Gyeonggi-do_Anseong-si","Gyeonggi-do",4,37.008008,127.279763,35,51,3,1.27,16.95,7.2,271,12.7827040194884,1.484287454324,68.8682704019488
"83","Gyeonggi-do_Anyang-si","Gyeonggi-do",63,37.394258,126.956752,41,79,4,1.86,12.88,5.1,1099,12.7827040194884,1.484287454324,68.8682704019488
"84","Gyeonggi-do_Yangju-si","Gyeonggi-do",9,37.785253,127.045823,33,48,1,1.16,15.23,6.3,252,12.7827040194884,1.484287454324,68.8682704019488
"85","Gyeonggi-do_Osan-si","Gyeonggi-do",8,37.149854,127.077461,23,50,2,1.25,9.09,3.6,314,12.7827040194884,1.484287454324,68.8682704019488
"86","Gyeonggi-do_Yongin-si","Gyeonggi-do",104,37.240985,127.17805,103,169,7,1.82,12.77,4.1,1429,12.7827040194884,1.484287454324,68.8682704019488
"87","Gyeonggi-do_Uiwang-si","Gyeonggi-do",10,37.344649,126.968299,14,24,1,1.09,12.99,5,189,12.7827040194884,1.484287454324,68.8682704019488
"88","Gyeonggi-do_Uijeongbu-si","Gyeonggi-do",47,37.738058,127.033716,33,62,1,1.59,14.61,6.4,729,12.7827040194884,1.484287454324,68.8682704019488
